Country Code,First Byte,Second Byte,Manufacturer
0x04,0x42,,Deutsche Telekom AG
0x04,0x43,,Deutsche Telekom AG
0x04,0x82,,Siemens AG
0x04,0x84,,ITO Communication
0x04,0x86,,Hauni Elektronik
0x04,0x88,,Dr. Neuhaus Mikroelektronik
0x04,0x8A,,mps Software
0x04,0x8B,,Ferrari electronik GmbH
0x04,0x8C,,mbp Kommunikationssysteme GmbH
0x04,0x8D,,Schneider Rundfunkwerke AG
0x04,0x8E,,Digitronic computersysteme gmbh
0x04,0x8F,,DeTeWe - Deutsche Telephonwerke AG &Co
0x04,0x90,,ITK Institut für Telekommunikation GmbH & Co KG
0x04,0xFF,,Regional-Code
0x04,0x81,0x00,Innovaphone GmbH
0x04,0x81,0x01,AVM Audiovisuelles Marketing und Computersysteme GmbH
0x04,0x81,0x02,TEDAS Gesellschaft für Telekommunikations- Daten- und Audiosysteme mbH
0x04,0x81,0x03,EICON Technology Research GmbH
0x04,0x81,0x04,VIP Com
0x04,0x81,0x05,Universität Bremen
0x04,0x81,0x06,Swyx Communications AG
0x04,0x81,0x07,Tenovis GmbH & Co.KG
0x04,0x81,0x08,snom technology AG
0x04,0x81,0x09,LANCOM Systems GmbH
0x04,0x81,0x0A,TE-Systems GmbH
0x04,0x81,0x0B,Teles AG
0x04,0x81,0x0C,Stadtwerke Bad Kissungen GmbH
0x04,0x81,0x0D,Funkwerk Enterprise Communications GmbH
0x04,0x81,0x0E,EDV-Beratung Gert Döring
0x04,0x81,0x0F,Vierling Communication GmbH